Product ID,Product Name,Product Price,Product Rating,Product Brand,Product Specification,Product URL
PID1,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,"Rs. 106,999",5,Apple,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved
Brand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB
What’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?search=1
PID2,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",4.7,Infinix,"Release Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)
Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 162.7 x 76 x 8.2 mm
Phone Weight 203 g
Operating System Android 13, XOS 13
Display
Screen Size 6.67 inches
Screen Resolution 1080 x 2400 pixels
Screen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)
Screen Protection N/A
Memory
Internal Memory 256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek MT8781 Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 32 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 108 MP + 2 MP + 2 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes
VIEW MORE",https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1
PID3,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",4.2,Realme,"ColourXanh Tia Chop = Lightning Blueđen = Black
Release Date2023-05-30SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions164.4 x 75.6 x 8.1 mmPhone Weight189 gOperating SystemAndroid 11, Realme UI 2.0DisplayScreen Size6.6 inchesScreen Resolution1080 x 2408 pixelsScreen TypeIPS LCD, 600 nits (peak)Screen ProtectionN/AMemoryInternal Memory64/128 GBRAM4 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorUnisoc Tiger T612GPUMali-G57BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera8 MPFront Flash LightNoFront Video Recording720p@30fpsBack Flash LightYesBack Camera50 MP + 2 MP + 0.3 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioNoWiFiYesNFCNo
'Colour
Xanh Tia Chop = Lightning Blue
đen = Black
Release Date 2023-05-30
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 164.4 x 75.6 x 8.1 mm
Phone Weight 189 g
Operating System Android 11, Realme UI 2.0
Display
Screen Size 6.6 inches
Screen Resolution 1080 x 2408 pixels
Screen Type IPS LCD, 600 nits (peak)
Screen Protection N/A
Memory
Internal Memory 64/128 GB
RAM 4 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Unisoc Tiger T612
GPU Mali-G57
Battery
VIEW MORE",https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1
PID4,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 64,999",4.7,Xiaomi,"Redmi Note 12 8GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
ROM: 128GBOfficial Brand Stock 1 Year Brand Warranty
Available in 4 colors:
-Blue
-Grey
-Light Green
-Levender
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty

ROM: 128GB
Official Brand Stock 1 Year Brand Warranty
Available in 4 colors: 
-Blue
-Grey
-Light Green
-Levender
Specifications of Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
Brand Xiaomi SKU 429185340_PK-2040915791 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Redmi Note 12, 1 x Charger, 1 x User Guide",https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?search=1
PID5,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 39,999",4.5,Tecno,"Starry Black/Pearl White/Magic Skin(Black and White) / Magic Magenta
32MP Ultra Clear Glowing Selfie
G88 Gaming Processor
Hard-wearing Starry Glass
256GB ROM+16GB RAM（extended 8GB RAM）
50MP Ultra Clear Rear Camera
5000mAh Super Battery+18W Fast Charge
6.8"" FHD+ 90Hz Refresh Rate
Android13 + HiOS 12.6
Height: 168.41mm
Width:76.21mm
Thickness: 8.46mm
6.8"" FHD+90Hz
1080*2460 Resolution
Helio G88, Octa-core
5000mAh(typ)+18W
Android™ T
2G
3G
4G
GPS
WIFI
FM
OTG
NFC
32MP Front Camera with Dual Flash
50MP AI Triple Rear Camera with Dual Flash
G-Sensor
E-compass
Ambient Light Sensor
Proximity Sensor
Side Fingerprint Sensor
Specifications of Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY
Brand Tecno SKU 436994487_PK-2101829511 Protection Not Specified Year Not Specified Number Of Cameras 3 Warranty Policy EN ONE YEAR OFFICIAL BRAND WARRANTY
What’s in the box Phone * 1 Charger cable * 1 Charger * 1",https://www.daraz.pk/products/tecno-spark-10-pro-8gb-ram-256gb-rom-pta-approved-official-brand-warranty-i436994487-s2101829511.html?search=1
PID6,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 28,999",4.8,Redmi,"Redmi 12C
RAM: 4GB
ROM: 128GB
Official Brand Stock
1 Year Brand Warranty
Available in 4 colours
Product details of Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
Redmi 12C
RAM: 4GB
ROM: 128GB
Official Brand Stock
1 Year Brand Warranty
Available in 4 colours
VIEW MORE",https://www.daraz.pk/products/4gb-12c-128gb-pta-1-i424399069-s2010696943.html?search=1
PID7,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,"Rs. 70,999",5,Apple,"Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved
Brand Apple SKU 434305230_PK-2082863896 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-white-64-gb-pta-approved-i434305230-s2082863896.html?search=1
PID8,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999",4.9,Infinix,"General FeaturesRelease Date2023-08-29SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions168.7 x 76.6 x 8.4 mmPhone Weight196 gOperating SystemAndroid 13, XOS 12.6DisplayScreen Size6.78 InchesScreen Resolution1080 x 2460 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory128 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek Helio G88 (12nm) Octa-coreGPUMali-G52 MC2
Battery
Type 5000 mAh
Camera
Front Camera 8 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 50 MP + 0.08 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes
3G Yes
4G/LTE Yes
5G No
Radio Yes
WiFi Yes
NFC Yes
6.78 InchesDisplay
VIEW MORE",https://www.daraz.pk/products/30-8gb-128gb-50mp-5000mah-i432054677-s2064260237.html?search=1
PID9,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,"Rs. 70,999",5,Apple,"Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved
Brand Apple SKU 434297530_PK-2082866600 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-black-64-gb-pta-approved-i434297530-s2082866600.html?search=1
PID10,Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,"Rs. 106,999",5,Apple,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved
Brand Apple SKU 435083296_PK-2088536132 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone X - Space Gray 256 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-space-gray-256-gb-pta-approved-i435083296-s2088536132.html?search=1
