Product ID,Reviews,Questions,Total reviews
PID1,"Gohar I.
4 months ago
...
this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.
Storage Capacity:128GB, Color Family:Mint
22
4
Yasir Q.
2 months ago
...
Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
Storage Capacity:128GB, Color Family:Grey
20
1
3***4
3 months ago
...
Camera satisfactory nh ha, Baki mobile ok ha
Storage Capacity:128GB, Color Family:Blue
30
4
1
2
3
4
•••
134",0,401
PID2,"Snake E.
3 weeks ago
...
I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰
Storage Capacity:256GB, Color Family:Black
26
4
israr A.
7 days ago
...
Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro
Storage Capacity:256GB, Color Family:Black
1
Amir B.
2 weeks ago
...
Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered
Storage Capacity:256GB, Color Family:Gold
4
1
2
3
4
•••
51",217,152
PID3,"Habib R.
2 weeks ago
...
#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.
Storage Capacity:128GB, Color Family:Blue
7
ChefMisbah
2 weeks ago
...
everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍
Storage Capacity:128GB, Color Family:Blue
2
junaid K.
2 weeks ago
...
#11.11 sale main good mobile mil gaya hy market sy bhi sasta same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active
Storage Capacity:128GB, Color Family:Blue
2
1
2
3
4
•••
31",140,92
PID4,"Usman M.
2 weeks ago
...
Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah
Color Family:Silver
24
4
1",0,1
PID5,"Hussain
4 months ago
...
So far it's good. Seems good. I'll update my review after checking thoroughly. By the way it's genuine product.
Storage Capacity:128GB, Color Family:Grey
11
Faisal B.
4 months ago
...
Very reasonable price, home delivery on the scheduled date, excellent packaging, unopened sealed phone box, approved from PTA, thank you daraz.
Storage Capacity:128GB, Color Family:Grey
9
Farhan K.
3 months ago
...
100% genuine phone. Timely delivered. Satisfied with my order from daraz.pk highly recommended
Storage Capacity:128GB, Color Family:Grey
6
4
1
2
3
4
•••
66",0,198
PID6,"aamir B.
2 weeks ago
...
Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍
Storage Capacity:256GB, Color Family:Magenta
7
1
Muhammad Z.
1 week ago
...
Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.
Storage Capacity:256GB, Color Family:White
2
A***.
2 weeks ago
...
Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications
Storage Capacity:256GB, Color Family:Black
10
1
2
3
4
•••
28",0,84
PID7,"Abdul H.
3 weeks ago
...
highly recommend...
Color Family:Silver
6
4
1",0,1
PID8,"Mohammad N.
5 months ago
...
very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku
Seller Response
5 months ago
Thank U Sir ,We Want To Make A Good Relation With Our Costomers
Storage Capacity:128GB, Color Family:Blue
115
8
Shahid B.
4 weeks ago
...
thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya
Storage Capacity:128GB, Color Family:Gold
9
1
Syed I.
2 weeks ago
...
#11.11 Wow! What a great mobile. The real thing is that seal pack, original, PTA approved, Under Warranty and all the accessory was included. Really appreciated to honest seller. This was my 1st time order of mobile phone and I was frightened but on receipt of mobile I joy and very very happy to see mobile. specifications are also same as describing.. Thanks seller and DARAZ
Storage Capacity:128GB, Color Family:Gold
8
1
2
3
4
•••
32",225,94
PID9,"Abdul S.
2 months ago
...
1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Storage Capacity:128GB, Color Family:Black
28
5
3***8
2 months ago
...
بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Color Family:Black, Storage Capacity:128GB
30
5
M J.
2 months ago
...
I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Color Family:Green, Storage Capacity:128GB
19
1
1
2
3
4
•••
44",182,132
PID10,"Zeeshan M.
2 weeks ago
...
Totally satisfied with my purchase.
Color Family:White
12
Sheher Y.
2 weeks ago
...
I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111
Color Family:White
3
1",0,2
