Product ID,Product Name,Product Price,Product Rating,Product Brand,Product Specification,Product URL,Reviews,Questions,Total reviews
PID1,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,106999,5.0,Apple,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved
Brand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB
What’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?search=1,"Gohar I.
4 months ago
...
this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.
Storage Capacity:128GB, Color Family:Mint
22
4
Yasir Q.
2 months ago
...
Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
Storage Capacity:128GB, Color Family:Grey
20
1
3***4
3 months ago
...
Camera satisfactory nh ha, Baki mobile ok ha
Storage Capacity:128GB, Color Family:Blue
30
4
1
2
3
4
•••
134",0,401
PID2,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,64499,4.7,Infinix,"Release Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)
Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 162.7 x 76 x 8.2 mm
Phone Weight 203 g
Operating System Android 13, XOS 13
Display
Screen Size 6.67 inches
Screen Resolution 1080 x 2400 pixels
Screen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)
Screen Protection N/A
Memory
Internal Memory 256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek MT8781 Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 32 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 108 MP + 2 MP + 2 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes
VIEW MORE",https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1,"Snake E.
3 weeks ago
...
I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰
Storage Capacity:256GB, Color Family:Black
26
4
israr A.
7 days ago
...
Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro
Storage Capacity:256GB, Color Family:Black
1
Amir B.
2 weeks ago
...
Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered
Storage Capacity:256GB, Color Family:Gold
4
1
2
3
4
•••
51",217,152
PID3,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,32999,4.2,Realme,"ColourXanh Tia Chop = Lightning Blueđen = Black
Release Date2023-05-30SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions164.4 x 75.6 x 8.1 mmPhone Weight189 gOperating SystemAndroid 11, Realme UI 2.0DisplayScreen Size6.6 inchesScreen Resolution1080 x 2408 pixelsScreen TypeIPS LCD, 600 nits (peak)Screen ProtectionN/AMemoryInternal Memory64/128 GBRAM4 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorUnisoc Tiger T612GPUMali-G57BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera8 MPFront Flash LightNoFront Video Recording720p@30fpsBack Flash LightYesBack Camera50 MP + 2 MP + 0.3 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioNoWiFiYesNFCNo
'Colour
Xanh Tia Chop = Lightning Blue
đen = Black
Release Date 2023-05-30
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 164.4 x 75.6 x 8.1 mm
Phone Weight 189 g
Operating System Android 11, Realme UI 2.0
Display
Screen Size 6.6 inches
Screen Resolution 1080 x 2408 pixels
Screen Type IPS LCD, 600 nits (peak)
Screen Protection N/A
Memory
Internal Memory 64/128 GB
RAM 4 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Unisoc Tiger T612
GPU Mali-G57
Battery
VIEW MORE",https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1,"Habib R.
2 weeks ago
...
#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.
Storage Capacity:128GB, Color Family:Blue
7
ChefMisbah
2 weeks ago
...
everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍
Storage Capacity:128GB, Color Family:Blue
2
junaid K.
2 weeks ago
...
#11.11 sale main good mobile mil gaya hy market sy bhi sasta same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active
Storage Capacity:128GB, Color Family:Blue
2
1
2
3
4
•••
31",140,92
PID4,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,64999,4.7,Xiaomi,"Redmi Note 12 8GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
ROM: 128GBOfficial Brand Stock 1 Year Brand Warranty
Available in 4 colors:
-Blue
-Grey
-Light Green
-Levender
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty

ROM: 128GB
Official Brand Stock 1 Year Brand Warranty
Available in 4 colors: 
-Blue
-Grey
-Light Green
-Levender
Specifications of Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
Brand Xiaomi SKU 429185340_PK-2040915791 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 x Redmi Note 12, 1 x Charger, 1 x User Guide",https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?search=1,"Usman M.
2 weeks ago
...
Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah
Color Family:Silver
24
4
1",0,1
PID5,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,39999,4.5,Tecno,"Starry Black/Pearl White/Magic Skin(Black and White) / Magic Magenta
32MP Ultra Clear Glowing Selfie
G88 Gaming Processor
Hard-wearing Starry Glass
256GB ROM+16GB RAM（extended 8GB RAM）
50MP Ultra Clear Rear Camera
5000mAh Super Battery+18W Fast Charge
6.8"" FHD+ 90Hz Refresh Rate
Android13 + HiOS 12.6
Height: 168.41mm
Width:76.21mm
Thickness: 8.46mm
6.8"" FHD+90Hz
1080*2460 Resolution
Helio G88, Octa-core
5000mAh(typ)+18W
Android™ T
2G
3G
4G
GPS
WIFI
FM
OTG
NFC
32MP Front Camera with Dual Flash
50MP AI Triple Rear Camera with Dual Flash
G-Sensor
E-compass
Ambient Light Sensor
Proximity Sensor
Side Fingerprint Sensor
Specifications of Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY
Brand Tecno SKU 436994487_PK-2101829511 Protection Not Specified Year Not Specified Number Of Cameras 3 Warranty Policy EN ONE YEAR OFFICIAL BRAND WARRANTY
What’s in the box Phone * 1 Charger cable * 1 Charger * 1",https://www.daraz.pk/products/tecno-spark-10-pro-8gb-ram-256gb-rom-pta-approved-official-brand-warranty-i436994487-s2101829511.html?search=1,"Hussain
4 months ago
...
So far it's good. Seems good. I'll update my review after checking thoroughly. By the way it's genuine product.
Storage Capacity:128GB, Color Family:Grey
11
Faisal B.
4 months ago
...
Very reasonable price, home delivery on the scheduled date, excellent packaging, unopened sealed phone box, approved from PTA, thank you daraz.
Storage Capacity:128GB, Color Family:Grey
9
Farhan K.
3 months ago
...
100% genuine phone. Timely delivered. Satisfied with my order from daraz.pk highly recommended
Storage Capacity:128GB, Color Family:Grey
6
4
1
2
3
4
•••
66",0,198
PID6,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,28999,4.8,Redmi,"Redmi 12C
RAM: 4GB
ROM: 128GB
Official Brand Stock
1 Year Brand Warranty
Available in 4 colours
Product details of Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty
Redmi 12C
RAM: 4GB
ROM: 128GB
Official Brand Stock
1 Year Brand Warranty
Available in 4 colours
VIEW MORE",https://www.daraz.pk/products/4gb-12c-128gb-pta-1-i424399069-s2010696943.html?search=1,"aamir B.
2 weeks ago
...
Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍
Storage Capacity:256GB, Color Family:Magenta
7
1
Muhammad Z.
1 week ago
...
Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.
Storage Capacity:256GB, Color Family:White
2
A***.
2 weeks ago
...
Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications
Storage Capacity:256GB, Color Family:Black
10
1
2
3
4
•••
28",0,84
PID7,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,70999,5.0,Apple,"Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved
Brand Apple SKU 434305230_PK-2082863896 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-white-64-gb-pta-approved-i434305230-s2082863896.html?search=1,"Abdul H.
3 weeks ago
...
highly recommend...
Color Family:Silver
6
4
1",0,1
PID8,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery",36999,4.9,Infinix,"General FeaturesRelease Date2023-08-29SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions168.7 x 76.6 x 8.4 mmPhone Weight196 gOperating SystemAndroid 13, XOS 12.6DisplayScreen Size6.78 InchesScreen Resolution1080 x 2460 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory128 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek Helio G88 (12nm) Octa-coreGPUMali-G52 MC2
Battery
Type 5000 mAh
Camera
Front Camera 8 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 50 MP + 0.08 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes
3G Yes
4G/LTE Yes
5G No
Radio Yes
WiFi Yes
NFC Yes
6.78 InchesDisplay
VIEW MORE",https://www.daraz.pk/products/30-8gb-128gb-50mp-5000mah-i432054677-s2064260237.html?search=1,"Mohammad N.
5 months ago
...
very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku
Seller Response
5 months ago
Thank U Sir ,We Want To Make A Good Relation With Our Costomers
Storage Capacity:128GB, Color Family:Blue
115
8
Shahid B.
4 weeks ago
...
thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya
Storage Capacity:128GB, Color Family:Gold
9
1
Syed I.
2 weeks ago
...
#11.11 Wow! What a great mobile. The real thing is that seal pack, original, PTA approved, Under Warranty and all the accessory was included. Really appreciated to honest seller. This was my 1st time order of mobile phone and I was frightened but on receipt of mobile I joy and very very happy to see mobile. specifications are also same as describing.. Thanks seller and DARAZ
Storage Capacity:128GB, Color Family:Gold
8
1
2
3
4
•••
32",225,94
PID9,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,70999,5.0,Apple,"Brand : Apple
Model : iPhone SE
Battery Health - 80+
PTA Approved
Memory : 64 GB
Screen : 4.7-in. Retina
HD Camera: 12MP Zoom 5x
Video camera : 4K Zoom 3x
Date of manufacture : 2020
Processor : A13 Bionic chip
Memory : 3GB
Battery : Lithium-ion 1821 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center
Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Brand : Apple Model : iPhone SE Battery Health - 80+ PTA Approved Memory : 64 GB Screen : 4.7-in. Retina HD Camera: 12MP Zoom 5x Video camera : 4K Zoom 3x Date of manufacture : 2020 Processor : A13 Bionic chip Memory : 3GB Battery : Lithium-ion 1821 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved
Brand Apple SKU 434297530_PK-2082866600 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-se-2nd-gen-2020-black-64-gb-pta-approved-i434297530-s2082866600.html?search=1,"Abdul S.
2 months ago
...
1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Storage Capacity:128GB, Color Family:Black
28
5
3***8
2 months ago
...
بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Color Family:Black, Storage Capacity:128GB
30
5
M J.
2 months ago
...
I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Color Family:Green, Storage Capacity:128GB
19
1
1
2
3
4
•••
44",182,132
PID10,Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved,106999,5.0,Apple,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Space Gray 256 GB - PTA Approved
Brand Apple SKU 435083296_PK-2088536132 Storage capacity Not Specified
What’s in the box 1x Used Apple iPhone X - Space Gray 256 GB - PTA Approved",https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-space-gray-256-gb-pta-approved-i435083296-s2088536132.html?search=1,"Zeeshan M.
2 weeks ago
...
Totally satisfied with my purchase.
Color Family:White
12
Sheher Y.
2 weeks ago
...
I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111
Color Family:White
3
1",0,2
